 Message (if any),رسالة (اختياري)
Interest Income Account,حساب إيرادات الفوائد
Interested,مهتم
Interests,الإهتمامات او الفوائد
Intermediate,متوسط
Intern,المتدرب
Internal,داخلي
Internal Customer,عميل داخلي
Internal Customer for company {0} already exists,العميل الداخلي للشركة {0} موجود بالفعل
Internal Purchase Order,Internal Purchase Order
Internal Purchase Order,Internal Purchase Order
Internal record of document shares,سجل داخلي لمشاركات المستندات
Internal Sale or Delivery Reference missing.,مرجع البيع أو التسليم الداخلي مفقود.
Internal Sales Order,Internal Sales Order
Internal Sales Order,Internal Sales Order
Internal Sales Reference Missing,مرجع المبيعات الداخلية مفقود
Internal Server Error,خطأ في الخادم الداخلي
Internal Supplier,مورد داخلي
Internal Supplier for company {0} already exists,المورد الداخلي للشركة {0} موجود بالفعل
Internal Transfer,نقل داخلي
Internal Transfer Reference Missing,مرجع التحويل الداخلي مفقود
Internal Transfers,التحويلات الداخلية
Internal transfers can only be done in company's default currency,لا يمكن إجراء التحويلات الداخلية إلا بعملة الشركة الافتراضية
Internal Work History,سجل العمل الداخلي
International,دولي
Internet,الإنترنت
Internet Publishing,نشر على شبكة الإنترنت
Interval,فترة
Interval should be between 1 to 59 MInutes,يجب أن يكون الفاصل الزمني بين 1 و 59 دقيقة
Interval UOM,الفاصل الزمني أوم
Intervals,فترات
Interview,مقابلة
Interview Detail,تفاصيل المقابلة
Interview Details,تفاصيل المقابلة
Interview Feedback,تقييم المقابلة
Interview Feedback {0} submitted successfully,تم تقديم تقييم المقابلة {0} بنجاح
Interview Feedback Reminder,تذكير بتقييم المقابلة
Interview Not Rescheduled,لم تتم إعادة جدولة المقابلة
Interview Reminder,تذكير المقابلة
Interview Reminder Notification Template,قالب إشعار تذكير المقابلة
Interview Rescheduled successfully,تمت إعادة جدولة المقابلة بنجاح
Interview Round,جولة المقابلة
Interview Round {0} is only applicable for the Designation {1},جولة المقابلة {0} تنطبق فقط على المسمى الوظيفي {1}
Interview Round {0} is only for Designation {1}. Job Applicant has applied for the role {2},جولة المقابلة {0} مخصصة فقط للمسمى الوظيفي {1}. تقدم المتقدم للوظيفة لدور {2}
Interview Scheduled Date,تاريخ المقابلة المجدول
Interview Status,حالة المقابلة
Interview Summary,ملخص المقابلة
Interview Type,نوع المقابلة
Interview: {0} Rescheduled,المقابلة: تمت إعادة جدولة {0}
Interviewer,المحاور
Interviewers,المحاورون
Interviews,المقابلات
Intra-State Supplies,اللوازم داخل الدولة
Intro,Intro
Intro,Intro
Intro Video,مقدمة الفيديو
Intro Video URL,رابط فيديو المقدمة
Introduce your company to the website visitor.,اعرض شركتك لزائرن الموقع الألكتروني
Introduction,مقدمة
Introductory information for the Contact Us Page,المعلومات التمهيدية لصفحة اتصل بنا
Introspection URI,URI الاستبطان
Invalid,غير صالحة
"Invalid ""depends_on"" expression",تعبير &quot;under_on&quot; غير صالح
"Invalid ""depends_on"" expression set in filter {0}",تم تعيين تعبير &quot;يعتمد على&quot; غير صالح في عامل التصفية {0}
"Invalid ""mandatory_depends_on"" expression","تعبير ""mandatory_depends_on"" غير صالح"
Invalid {0},غير صالح {0}
Invalid {0} condition,حالة {0} غير صالحة
Invalid {0} for Inter Company Transaction.,غير صالح {0} للمعاملات بين الشركات.
Invalid {0} or {1},{0} أو {1} غير صالح
Invalid {0}: {1},{0} غير صالح : {1}\n<br>\nInvalid {0}: {1}
Invalid Account,حساب غير صالح
Invalid Account Currency,عملة الحساب غير صالحة
Invalid Action,إجراء غير صالح
Invalid Additional Salary,راتب إضافي غير صالح
Invalid aggregate function,دالة تجميع غير صالحة
Invalid Allocated Amount,مبلغ مخصص غير صالح
Invalid Amount,مبلغ غير صالح
Invalid amount in accounting entries of {} {} for Account {}: {},مبلغ غير صالح في قيود المحاسبة لـ {} {} للحساب {}: {}
Invalid app,Invalid app
Invalid app,Invalid app
Invalid Attribute,خاصية غير صالحة
Invalid attribute {0} {1},خاصية غير صالحة {0} {1}
Invalid Auto Repeat Date,تاريخ التكرار التلقائي غير صالح
Invalid Barcode,باركود غير صالح
Invalid Barcode. There is no Item attached to this barcode.,الباركود غير صالح. لا يوجد عنصر مرفق بهذا الرمز الشريطي.
Invalid Blanket Order for the selected Customer and Item,طلب فارغ غير صالح للعميل والعنصر المحدد
Invalid Child Procedure,إجراء الطفل غير صالح
Invalid Code. Please try again.,رمز غير صالح. يرجى المحاولة مرة أخرى.
Invalid column,عمود غير صالح
Invalid Company for Inter Company Transaction.,شركة غير صالحة للمعاملات بين الشركات.
Invalid condition expression,تعبير شرط غير صالح
Invalid Condition: {},شرط غير صالح: {}
Invalid Consumer Key or Consumer Secret Key,مفتاح العميل أو مفتاح سري العميل غير صالح
Invalid Cost Center,مركز تكلفة غير صالح
Invalid credentials,بيانات الاعتماد غير صالحة
Invalid Credentials,بيانات الاعتماد غير صالحة
Invalid Credentials for Email Account: {0},Invalid Credentials for Email Account: {0}
Invalid Credentials for Email Account: {0},Invalid Credentials for Email Account: {0}
Invalid CSV Format,تنسيق CSV غير صالح
Invalid Date,تاريخ غير صالح
Invalid Dates,تواريخ غير صالحة
Invalid Delivery Date,تاريخ تسليم غير صالح
Invalid Discount,خصم غير صالح
Invalid Discount Amount,Invalid Discount Amount
Invalid Discount Amount,Invalid Discount Amount
Invalid docstatus,حالة مستند غير صالحة
Invalid Doctype,Invalid Doctype
Invalid Doctype,Invalid Doctype
Invalid DocType,نوع مستند غير صالح
Invalid DocType: {0},نوع مستند غير صالح: {0}
Invalid Document,مستند غير صالح
Invalid Document Type,نوع المستند غير صالح
Invalid expense parameter,معامل مصروف غير صالح
Invalid expression set in filter {0},تم تعيين تعبير غير صالح في عامل التصفية {0}
Invalid expression set in filter {0} ({1}),تم تعيين تعبير غير صالح في عامل التصفية {0} ({1})
Invalid field for grouping,Invalid field for grouping
Invalid field for grouping,Invalid field for grouping
Invalid field name {0},اسم الحقل غير صالح {0}
Invalid Fieldname,اسم حقل غير صالح
Invalid fieldname '{0}' in autoname,اسم الحقل غير صالح '{0}' في الااسم تلقائي
Invalid file path: {0},مسار الملف غير صالح: {0}
Invalid File Type,نوع ملف غير صالح
Invalid File URL,رابط ملف غير صالح
Invalid Filter Format for field {0} of type {1}. Try using filter icon on the field to set it correctly,تنسيق عامل تصفية غير صالح للحقل {0} من النوع {1}. حاول استخدام أيقونة عامل التصفية على الحقل لتعيينه بشكل صحيح
